Context				Score on Rubric and Note	Content of Note					Score on Rubric and Note
Course Name	Course Number	Assignment	Dataset	Scale (criteria)	Title/Keywords (comma separated)	ID #	Dataset Specific (linked to column D)	Corrective description	Reinforcing Description	Value (change in points)
EDF 4210 Educational Psychology	2275	Cognitive Development Theories Chart	N/A	Key Components of the Theories	Schemas represent all thoughts and the organization of those thoughts.			Not just certain or specific ones.		
EDF 4210 Educational Psychology	2275	CSLPA Final Paper	Any	Achievement Goal Theory	Missing definition and term in application			Missing definition of mastery approach and mastery avoidance, the term was not reused in application.Making it unclear how students with a mastery approach would be motivated to master that activity.		-1
EDF 4210 Educational Psychology	2275	Any	N/A	APA Format/Spelling & Grammar	Run-on sentence			Good effort on this sentence. There is too much information packed into this sentence. Please fix this run-on sentence.		
EDF 4210 Educational Psychology	2275	Any	N/A	APA Format/Spelling & Grammar	Missing indent			All paragraphs need to be indented.		
EDF 4210 Educational Psychology	2275	Any	N/A	APA Format/Spelling & Grammar	Referrents			Do not include referents in the first sentences of new paragraphs. Like "this" Remind the reader of the specific lesson plan you are referring to.		
EDF 4210 Educational Psychology	2275	Any	N/A	APA Format/Spelling & Grammar	Referrents			Avoid using the word it. Especially to start a sentence. Instead state, people use equilbration to x.		
EDF 4210 Educational Psychology	2275	Any	N/A	APA Format/Spelling & Grammar	Abbreviation			Cannot present an abbreviation or acronym with out stating the term first right after. so "a More Knowledgeable Other (MKO)..." And if you intend on using the abbreviation once, no need to introduce it at all. 		
EDF 4210 Educational Psychology	2275	Any	N/A	APA Format/Spelling & Grammar	Second person, 2nd person			Per APA do not write in 2nd person "using you". You can write in first person.		
EDF 4210 Educational Psychology	2275	Any	N/A	APA Format/Spelling & Grammar	Wrong first person			Per APA- You can write in first person but cannot use our or we. You cannot include the reader into your statement. 		
EDF 4210 Educational Psychology	2275	Any	N/A	APA Format/Spelling & Grammar	Referrents			Be sure to clarify your reference "they" to the pronoun, student.		
EDF 4210 Educational Psychology	2275	Any	N/A	APA Format/Spelling & Grammar	Referrents			Referrant to far from pronoun. when you start a new paragraph or a new section be explicit on the pronoun you are referring to. In other words, list the three Piaget concepts you are writing about here so the reader does not have to guess.		
EDF 4210 Educational Psychology	2275	Any	N/A	APA Format/Spelling & Grammar	Plagairism			Technically this is copying 3 words in a row. I am less worried about copying three words like this. But more want you to translate these concepts into your own schema, how would you say this?		
EDF 4210 Educational Psychology	2275	Any	N/A	APA Format/Spelling & Grammar	Writing concisely and being wrong			You most likely would have gotten full credit had you explained your thinking with an additional sentence or two. If you write concisely, like with one sentence answers, every word in the answer must be correct or you risk being wrong by accidentally choosing the wrong word.		
EDF 4210 Educational Psychology	2275	Any	N/A	APA Format/Spelling & Grammar	Contractions			Per APA- no contractions like "don't". Write "do not".		
EDF 4210 Educational Psychology	2275	Any	N/A	APA Format/Spelling & Grammar	Sentence count in paragraphs			Paragraphs are 4-7 sentences so you may want to break this block of text into two paragraphs.		
EDF 4210 Educational Psychology	2275	Any	N/A	APA Format/Spelling & Grammar	Sentence count in paragraphs			Paragraphs are 4-7 sentences so you may want to combine these two paragraphs		
EDF 4210 Educational Psychology	2275	Any	N/A	APA Format/Spelling & Grammar	Direct Quote			if you use a direct quote you need to include a page number with the citation. I rarely if every want to see quotes. Better to write in your own words.		
EDF 4210 Educational Psychology	2275	Any	N/A	APA Format/Spelling & Grammar	Numbers vs. Numerals			Per APA- Write out the numeral of single digit numbers. If it is a list or 2+ digits you can use the number.		
EDF 4210 Educational Psychology	2275	Any	N/A	APA Format/Spelling & Grammar	APA Paragraph Citations			Add cite here, since you are mashing a definitions paragraph with an example.		
EDF 4210 Educational Psychology	2275	Any	N/A	APA Format/Spelling & Grammar	Extra spaces between paragraphs			Per APA- Delete these extra spaces between paragraphs		
EDF 4210 Educational Psychology	2275	Any	N/A	APA Format/Spelling & Grammar	Repeating Comments across assignments			Be sure to review all my comments in the rubrics of the blogs. Including the "writing", if I quote something, this means I am repeating myself. 		
EDF 4210 Educational Psychology	2275	Any	N/A	APA Format/Spelling & Grammar	Extra spaces after periods			Make sure not to have extra spaces after periods.		
